Species,DBH,Colony,Foraged,Distance,succession
Abarema_macradenia,13,4,0,47.72762408,n
Abarema_macradenia,13,8,0,17.6514492,n
Abarema_macradenia,13,4,0,17.6514492,n
Abarema_macradenia,13,8,0,40.63196192,n
Abarema_macradenia,13,8,0,22.33832255,n
Abarema_macradenia,13,4,0,22.33832255,n
Abarema_macradenia,15.5,5,0,40.79278858,n
Abarema_macradenia,15.5,5,0,19.09289616,n
Abarema_macradenia,15.5,5,0,18.21085966,n
Abarema_macradenia,13,8,0,47.72762408,n
Abarema_macradenia,13,4,0,40.63196192,n
Abarema_macradenia,15.5,5,0,22.93147359,n
Aegiphila_falcata,4,7,0,24.1524181,n
Aegiphila_falcata,4,7,0,17.99133473,n
Aegiphila_falcata,4,7,0,17.57327373,n
Aegiphila_falcata,4,7,0,11.80482622,n
Aegiphila_falcata,8.3,1,1,7.191975977,n
Alchornea_costaricensis,54,8,0,34.37773304,c
Alchornea_costaricensis,61.5,8,0,37.16535994,c
Alchornea_costaricensis,54,4,1,53.7172086,c
Alchornea_costaricensis,54,8,0,4.473351857,c
Alchornea_costaricensis,31.5,9,0,40.03153898,c
Alchornea_costaricensis,93.5,4,1,61.13413531,c
Alchornea_costaricensis,93.5,4,1,62.77287001,c
Alchornea_costaricensis,61.5,8,0,32.15042924,c
Alchornea_costaricensis,54,8,0,60.43985522,c
Alchornea_costaricensis,54,8,0,14.16646368,c
Alchornea_costaricensis,98.5,4,1,45.56052019,c
Alchornea_costaricensis,93.5,8,1,61.13413531,c
Alchornea_costaricensis,61.5,4,0,19.38287904,c
Alchornea_costaricensis,31.5,9,0,34.42953373,c
Alchornea_costaricensis,61.5,4,0,37.16535994,c
Alchornea_costaricensis,61.5,8,0,19.38287904,c
Alchornea_costaricensis,98.5,8,0,58.76722292,c
Alchornea_costaricensis,61.5,4,0,32.15042924,c
Alchornea_costaricensis,93.5,8,1,62.77287001,c
Alchornea_sp,6.2,7,0,23.88246265,n
Alchornea_sp,6.2,7,0,14.09592078,n
Alchornea_sp,6.2,7,0,14.5983047,n
Alchornea_sp,6.2,7,0,12.79854495,n
Alchornea_sp,6.2,7,0,29.62966285,n
Alchornea_sp,6.2,7,0,43.47608538,n
Alchornea_sp,6.2,7,0,12.02018549,n
Alchorneopsis_floribunda,17.8,6,0,43.13952248,n
Alchorneopsis_floribunda,17.8,6,0,30.4630936,n
Alchorneopsis_floribunda,40,9,1,52.63475873,n
Alchorneopsis_floribunda,17.8,6,0,21.17048592,n
Ampelocera_macrocarpa,97,4,0,39.41559336,n
Andira_inermis,23.9,9,1,15.54289044,n
Andira_inermis,29.5,4,0,28.67874649,n
Andira_inermis,29.5,4,0,20.30156194,n
Apeiba_membranacea,47.1,9,0,32.78295829,c
Apeiba_membranacea,76.3,4,0,55.5092758,c
Apeiba_membranacea,16.3,9,0,25.57669447,c
Apeiba_membranacea,16.3,9,0,40.5897156,c
Apeiba_membranacea,62.8,7,1,11.44362569,c
Apeiba_membranacea,16.3,9,0,35.11620005,c
Apeiba_membranacea,76.3,4,0,54.19728776,c
Apeiba_membranacea,16.3,9,0,10.7565084,c
Apeiba_membranacea,16.3,9,0,26.00447998,c
Ardisia_auriculata,6.4,5,0,41.39546032,n
Ardisia_auriculata,4.1,7,0,3.72484899,n
Ardisia_auriculata,6.4,5,0,30.54382721,n
Ardisia_auriculata,4.1,7,0,4.834397584,n
Ardisia_auriculata,6.4,5,0,34.45664883,n
Ardisia_auriculata,6.4,7,0,34.45664883,n
Ardisia_auriculata,6.4,7,0,30.54382721,n
Ardisia_auriculata,6.4,7,0,41.39546032,n
Ardisia_auriculata,4.1,7,0,21.13077386,n
Ardisia_auriculata,4.1,7,0,42.1510366,n
Ardisia_auriculata,4.1,7,0,32.33984805,n
Ardisia_granatensis,21.7,5,0,47.99133672,n
Ardisia_granatensis,12.3,7,0,30.82366706,n
Ardisia_granatensis,2.7,8,1,73.8324604,n
Ardisia_granatensis,12.3,7,0,42.61537013,n
Ardisia_granatensis,12.3,7,0,65.85640819,n
Ardisia_granatensis,2.7,8,1,15.22308343,n
Ardisia_granatensis,12.3,7,0,12.58842998,n
Ardisia_granatensis,12.3,7,0,38.90643937,n
Ardisia_granatensis,21.7,5,0,18.29810503,n
Ardisia_granatensis,12.3,7,0,29.21185375,n
Ardisia_nigropunctata,6.1,5,0,35.73290778,n
Ardisia_nigropunctata,6.1,5,0,32.68651794,n
Ardisia_nigropunctata,6.1,5,0,47.83744349,n
Ardisia_nigropunctata,6.1,5,0,24.78984866,n
Ardisia_nigropunctata,4,5,0,24.1524181,n
Ardisia_nigropunctata,6.1,5,0,27.84393003,n
Ardisia_nigropunctata,4,5,0,17.99133473,n
Ardisia_nigropunctata,6.1,5,0,17.5649936,n
Ardisia_nigropunctata,4,5,0,11.80482622,n
Ardisia_nigropunctata,6.1,5,0,55.67665336,n
Ardisia_nigropunctata,4,5,0,17.57327373,n
Ardisia_nigropunctata,6.1,5,0,38.02385041,n
Aspidosperma_spruceanum,1.2,1,0,5.110994411,n
Aspidosperma_spruceanum,1.2,1,0,34.32560738,n
Aspidosperma_spruceanum,9,1,0,28.21647432,n
Aspidosperma_spruceanum,9,1,0,17.45111931,n
Aspidosperma_spruceanum,9,1,0,9.09192252,n
Bactris_coloradensis,5.7,1,0,26.96105562,n
Bactris_coloradensis,5.7,1,0,29.53189973,n
Bactris_coloradensis,5.7,1,0,32.29384616,n
Bactris_coloradensis,5.7,9,0,29.53189973,n
Bactris_coloradensis,5.7,9,0,32.29384616,n
Bactris_coloradensis,5.7,9,0,26.96105562,n
Bactris_coloradensis,5.7,9,0,48.08405429,n
Bactris_coloradensis,5.7,9,0,18.64102883,n
Bactris_coloradensis,5.7,1,0,18.64102883,n
Bactris_coloradensis,5.7,1,0,48.08405429,n
Balizia_elegans,1.8,5,0,21.60457551,n
Balizia_elegans,14.1,5,0,43.6563867,n
Balizia_elegans,77,5,0,2.271687094,n
Balizia_elegans,1.8,5,0,12.90700451,n
Balizia_elegans,14.1,5,0,15.72547843,n
Balizia_elegans,77,5,0,27.96058505,n
Balizia_elegans,14.1,5,0,13.61175551,n
Balizia_elegans,14.1,5,0,29.64667623,n
Balizia_elegans,1.8,5,0,7.258437224,n
Balizia_elegans,1.8,5,0,10.32116757,n
Bravaisia_integerrima,38.5,8,0,25.76932363,n
Bravaisia_integerrima,38.5,8,0,46.29140492,n
Brosimum_alicastrum,7.7,6,0,18.53780909,n
Brosimum_alicastrum,7.7,6,0,25.86002108,n
Brosimum_alicastrum,7.7,6,0,42.40632916,n
Brosimum_alicastrum,3,6,0,24.73569576,n
Brosimum_alicastrum,3,6,0,40.02852491,n
Brosimum_alicastrum,3,6,0,19.18107386,n
Brosimum_alicastrum,7.7,6,0,23.81697924,n
Brosimum_lactescens,25,9,0,22.89576064,n
Brosimum_lactescens,25,9,0,27.59932246,n
Brosimum_lactescens,23.1,1,0,39.9062679,n
Brosimum_lactescens,25,9,0,30.03531784,n
Brosimum_lactescens,25,9,0,50.38903055,n
Brosimum_lactescens,13.8,6,0,35.6933061,n
Brosimum_lactescens,25,9,0,23.09181351,n
Brosimum_lactescens,13.8,6,0,35.44139471,n
Brosimum_lactescens,13.8,6,0,34.49119156,n
Bunchosia_ocellata,11.8,6,0,23.86201078,n
Bunchosia_ocellata,11.8,6,0,21.27316955,n
Bursera_simaruba,9.8,4,0,30.0514318,n
Bursera_simaruba,9.8,4,0,27.86404314,n
Bursera_simaruba,9.8,4,0,28.99430461,n
Bursera_simaruba,9.8,4,0,32.93820274,n
Bursera_simaruba,9.8,4,0,26.37918401,n
Calophyllum_brasiliense,21.6,4,0,27.56490522,n
Calophyllum_brasiliense,21.6,4,0,49.3852559,n
Calyptrogyne_ghiesbreghtiana,8.5,9,0,9.190788867,n
Calyptrogyne_ghiesbreghtiana,8.5,9,0,7.782328251,n
Calyptrogyne_ghiesbreghtiana,8.5,9,0,22.49189026,n
Calyptrogyne_ghiesbreghtiana,8.5,9,0,44.68018402,n
Capparis_pittieri,14.2,4,0,19.26167618,n
Capparis_pittieri,15.5,6,0,18.21085966,n
Capparis_pittieri,14.2,4,0,17.62512411,n
Capparis_pittieri,17.3,1,0,16.97437295,n
Capparis_pittieri,14.2,4,0,20.82831434,n
Capparis_pittieri,15.5,6,0,19.09289616,n
Capparis_pittieri,15.5,6,0,40.79278858,n
Capparis_pittieri,13.2,1,0,13.44573265,n
Capparis_pittieri,15.5,6,0,22.93147359,n
Carapa_guianensis,5.9,5,0,5.56400241,n
Carapa_guianensis,5.9,5,0,43.08531188,n
Carapa_guianensis,5.9,5,0,30.98645283,n
Casearia_arborea,16.3,7,0,25.57669447,c
Casearia_arborea,14.4,9,0,30.3264012,c
Casearia_arborea,16.3,7,0,35.11620005,c
Casearia_arborea,14.4,9,0,47.7883833,c
Casearia_arborea,14.4,9,0,51.7182724,c
Casearia_arborea,16.3,7,0,10.7565084,c
Casearia_arborea,16.3,7,0,40.5897156,c
Casearia_arborea,9.6,7,1,22.89781997,c
Casearia_arborea,16.3,7,0,26.00447998,c
Casearia_commersoniana,1.7,7,0,15.47106008,n
Casearia_commersoniana,1.7,7,0,16.22148773,n
Casearia_commersoniana,1.7,7,0,62.65041963,n
Casearia_commersoniana,1.7,7,0,23.58137181,n
Casearia_commersoniana,1.7,7,0,53.95915863,n
Casearia_corymbosa,24.5,6,0,1.918593235,n
Casearia_corymbosa,2.1,8,0,39.17815449,n
Casearia_corymbosa,10.1,6,0,24.77883031,n
Casearia_corymbosa,2.1,8,0,22.97297731,n
Casearia_corymbosa,2.1,4,0,6.233535446,n
Casearia_corymbosa,2.1,4,0,39.59708196,n
Casearia_corymbosa,46.5,6,1,17.62553917,n
Casearia_corymbosa,2.1,8,0,11.67663729,n
Casearia_corymbosa,10.1,6,0,12.68771059,n
Casearia_corymbosa,2.1,4,0,11.67663729,n
Casearia_corymbosa,24.5,6,0,27.48547233,n
Casearia_corymbosa,10.1,6,0,7.23479265,n
Casearia_corymbosa,2.1,8,0,6.233535446,n
Casearia_corymbosa,10.1,6,0,8.578712725,n
Casearia_corymbosa,2.1,4,0,39.17815449,n
Casearia_corymbosa,2.1,8,0,39.59708196,n
Casearia_corymbosa,24.5,6,0,21.94416048,n
Casearia_corymbosa,2.1,4,0,22.97297731,n
Casearia_sylvestris,4.4,5,0,41.90883264,n
Casearia_sylvestris,4.4,5,0,34.10115317,n
Casearia_sylvestris,4.4,5,0,13.85235942,n
Cassia_papillosa,10,6,0,26.7567893,n
Cassia_papillosa,9,1,0,17.45111931,n
Cassia_papillosa,16.3,6,0,35.11620005,n
Cassia_papillosa,16.3,6,0,10.7565084,n
Cassia_papillosa,9,1,0,9.09192252,n
Cassia_papillosa,16.3,6,0,26.00447998,n
Cassia_papillosa,10,6,0,19.65636992,n
Cassia_papillosa,10,6,0,29.01684123,n
Cassia_papillosa,9,1,0,28.21647432,n
Cassia_papillosa,9,6,0,28.21647432,n
Cassia_papillosa,16.3,6,0,40.5897156,n
Cassia_papillosa,16.3,6,0,25.57669447,n
Cassia_papillosa,9,6,0,17.45111931,n
Cassia_papillosa,9,6,0,9.09192252,n
Cassipourea_elliptica,4.1,4,0,42.1510366,n
Cassipourea_elliptica,4.1,4,0,3.72484899,n
Cassipourea_elliptica,4.1,4,0,4.834397584,n
Cassipourea_elliptica,4.1,4,0,32.33984805,n
Cassipourea_elliptica,4.1,4,0,21.13077386,n
Cassipourea_elliptica,17.4,4,0,15.70345822,n
Castilla_elastica,11,6,0,15.34466761,n
Castilla_elastica,10.1,4,0,24.77883031,n
Castilla_elastica,58,9,0,24.71619189,n
Castilla_elastica,57.5,4,0,9.125486288,n
Castilla_elastica,8,9,0,40.01119968,n
Castilla_elastica,47.5,4,0,32.46422983,n
Castilla_elastica,45.8,5,0,26.89662599,n
Castilla_elastica,11,6,0,11.00743924,n
Castilla_elastica,8,9,0,32.62204484,n
Castilla_elastica,47.5,4,0,32.9987424,n
Castilla_elastica,10.1,4,0,8.578712725,n
Castilla_elastica,8,9,0,46.67602393,n
Castilla_elastica,8,9,0,31.6650754,n
Castilla_elastica,8,9,0,45.82407398,n
Castilla_elastica,10.1,4,0,7.23479265,n
Castilla_elastica,10.1,4,0,12.68771059,n
Castilla_elastica,47.5,4,0,16.6251406,n
Cecropia_insignis,22.3,6,0,32.07942536,c
Cecropia_insignis,22.3,6,0,16.23106801,c
Cecropia_obtusifolia,25,6,0,27.59932246,c
Cecropia_obtusifolia,16,4,0,19.01029068,c
Cecropia_obtusifolia,16,4,0,37.22693245,c
Cecropia_obtusifolia,25,6,0,23.09181351,c
Cecropia_obtusifolia,25,6,0,30.03531784,c
Cecropia_obtusifolia,25,6,0,50.38903055,c
Cecropia_obtusifolia,25,6,0,22.89576064,c
Cedrela_odorata,75.5,5,0,34.58706633,n
Cedrela_odorata,58.5,8,1,7.164949407,n
Cedrela_odorata,58.5,8,1,26.63806373,n
Cedrela_odorata,58.5,10,1,7.164949407,n
Cedrela_odorata,58.5,10,1,25.81986392,n
Cedrela_odorata,58.5,8,1,25.81986392,n
Cedrela_odorata,58.5,10,1,26.63806373,n
Ceiba_pentandra,83.5,4,1,41.15497661,n
Ceiba_pentandra,14.3,4,0,23.02140308,n
Ceiba_pentandra,14.3,4,0,20.41336817,n
Celtis_schippii,7.2,9,0,31.18647827,n
Celtis_schippii,12,9,0,49.592274,n
Celtis_schippii,7.2,9,0,23.54574271,n
Celtis_schippii,12,9,0,11.46994769,n
Celtis_schippii,7.2,9,0,18.64903268,n
Celtis_schippii,12,9,0,24.64786384,n
Cestrum_megalophyllum,3.9,9,0,19.95262182,n
Cestrum_megalophyllum,3.9,9,0,26.54868043,n
Chimarrhis_parviflora,37.8,9,0,42.39022334,n
Chrysophyllum_venezuelanense,16.6,8,0,1.003194896,n
Chrysophyllum_venezuelanense,6.9,5,0,28.59065823,n
Chrysophyllum_venezuelanense,7.4,5,0,13.14389592,n
Chrysophyllum_venezuelanense,9.8,4,0,28.99430461,n
Chrysophyllum_venezuelanense,16.5,9,0,52.93771713,n
Chrysophyllum_venezuelanense,6.9,5,0,27.25564361,n
Chrysophyllum_venezuelanense,16.6,8,0,26.73569784,n
Chrysophyllum_venezuelanense,9.8,4,0,27.86404314,n
Chrysophyllum_venezuelanense,6.9,5,0,34.54719592,n
Chrysophyllum_venezuelanense,9.8,4,0,26.37918401,n
Chrysophyllum_venezuelanense,13.3,8,0,14.98814296,n
Chrysophyllum_venezuelanense,16.6,10,0,26.73569784,n
Chrysophyllum_venezuelanense,16.5,9,0,21.37854298,n
Chrysophyllum_venezuelanense,13.3,9,0,37.59964414,n
Chrysophyllum_venezuelanense,14.1,7,0,29.64667623,n
Chrysophyllum_venezuelanense,11.3,5,0,49.79524703,n
Chrysophyllum_venezuelanense,13.3,8,0,51.88135021,n
Chrysophyllum_venezuelanense,7.4,5,0,26.23673214,n
Chrysophyllum_venezuelanense,14.8,7,0,4.866606498,n
Chrysophyllum_venezuelanense,7.4,5,0,19.85321717,n
Chrysophyllum_venezuelanense,14.1,7,0,15.72547843,n
Chrysophyllum_venezuelanense,16.6,10,0,1.003194896,n
Chrysophyllum_venezuelanense,9.8,4,0,30.0514318,n
Chrysophyllum_venezuelanense,16.5,7,0,21.37854298,n
Chrysophyllum_venezuelanense,14.1,7,0,13.61175551,n
Chrysophyllum_venezuelanense,11.3,5,0,21.06230278,n
Chrysophyllum_venezuelanense,13.3,9,0,47.4664945,n
Chrysophyllum_venezuelanense,16.5,9,0,20.23804066,n
Chrysophyllum_venezuelanense,14.1,7,0,43.6563867,n
Chrysophyllum_venezuelanense,16.5,7,0,7.729074977,n
Chrysophyllum_venezuelanense,13.3,8,0,46.33003678,n
Chrysophyllum_venezuelanense,14.8,7,0,14.81303253,n
Chrysophyllum_venezuelanense,16.5,7,0,52.93771713,n
Chrysophyllum_venezuelanense,13.3,9,0,14.98814296,n
Chrysophyllum_venezuelanense,9.8,4,0,32.93820274,n
Chrysophyllum_venezuelanense,16.5,7,0,20.23804066,n
Chrysophyllum_venezuelanense,16.5,9,0,40.43855759,n
Chrysophyllum_venezuelanense,13.3,8,0,37.59964414,n
Chrysophyllum_venezuelanense,6.9,7,0,28.59065823,n
Chrysophyllum_venezuelanense,6.9,7,0,27.25564361,n
Chrysophyllum_venezuelanense,13.3,8,0,7.588732388,n
Chrysophyllum_venezuelanense,13.3,9,0,51.88135021,n
Chrysophyllum_venezuelanense,16.5,7,0,36.90621393,n
Chrysophyllum_venezuelanense,14.8,7,0,16.04060609,n
Chrysophyllum_venezuelanense,16.5,9,0,36.90621393,n
Chrysophyllum_venezuelanense,13.3,8,0,47.4664945,n
Chrysophyllum_venezuelanense,14.8,7,0,30.06721518,n
Chrysophyllum_venezuelanense,13.3,9,0,46.33003678,n
Chrysophyllum_venezuelanense,16.5,7,0,40.43855759,n
Chrysophyllum_venezuelanense,16.5,9,0,7.729074977,n
Chrysophyllum_venezuelanense,13.3,9,0,7.588732388,n
Chrysophyllum_venezuelanense,6.9,7,0,34.54719592,n
Clarisia_mexicana,22.7,7,0,45.06611644,n
Clarisia_mexicana,6.2,9,0,43.47608538,n
Clarisia_mexicana,14.4,4,0,51.7182724,n
Clarisia_mexicana,71.5,6,1,18.38318487,n
Clarisia_mexicana,14.4,4,0,30.3264012,n
Clarisia_mexicana,12.3,8,0,30.82366706,n
Clarisia_mexicana,12.3,8,0,65.85640819,n
Clarisia_mexicana,12.3,8,0,42.61537013,n
Clarisia_mexicana,21.7,4,0,18.29810503,n
Clarisia_mexicana,6.2,9,0,12.79854495,n
Clarisia_mexicana,11.7,7,0,25.5263397,n
Clarisia_mexicana,27.1,4,1,15.28026505,n
Clarisia_mexicana,6.2,9,0,29.62966285,n
Clarisia_mexicana,23,5,1,1.044894155,n
Clarisia_mexicana,21.7,4,0,47.99133672,n
Clarisia_mexicana,14.4,4,0,47.7883833,n
Clarisia_mexicana,14.4,8,1,2.897786957,n
Clarisia_mexicana,6.2,9,0,14.5983047,n
Clarisia_mexicana,11.5,4,0,38.43009888,n
Clarisia_mexicana,12.3,8,0,29.21185375,n
Clarisia_mexicana,11.5,4,0,38.17989174,n
Clarisia_mexicana,11.5,4,0,10.80253674,n
Clarisia_mexicana,6.2,9,0,14.09592078,n
Clarisia_mexicana,6.2,9,0,23.88246265,n
Clarisia_mexicana,12.3,8,0,12.58842998,n
Clarisia_mexicana,13.7,6,0,7.431910971,n
Clarisia_mexicana,13.7,6,0,11.14255088,n
Clarisia_mexicana,6.2,9,0,12.02018549,n
Clarisia_mexicana,12.3,8,0,38.90643937,n
Clarisia_mexicana,21.7,8,1,3.067269021,n
Cojoba_catenata,2.3,5,0,13.62742199,n
Cojoba_catenata,6.2,10,0,29.62966285,n
Cojoba_catenata,6.2,10,0,43.47608538,n
Cojoba_catenata,2.1,5,0,22.97297731,n
Cojoba_catenata,2.3,5,0,29.90975761,n
Cojoba_catenata,2.3,5,0,26.81471348,n
Cojoba_catenata,2.3,5,0,41.87514874,n
Cojoba_catenata,6.2,10,0,12.79854495,n
Cojoba_catenata,2.1,5,0,11.67663729,n
Cojoba_catenata,6.2,10,0,14.09592078,n
Cojoba_catenata,2.1,5,0,6.233535446,n
Cojoba_catenata,6.2,10,0,23.88246265,n
Cojoba_catenata,6.2,10,0,12.02018549,n
Cojoba_catenata,6.2,10,0,14.5983047,n
Cojoba_catenata,2.1,5,0,39.17815449,n
Cojoba_catenata,2.1,5,0,39.59708196,n
Cojoba_catenata,2.3,5,0,10.77935195,n
Cojoba_valerioi,5.9,8,0,30.98645283,n
Cojoba_valerioi,5.9,8,0,5.56400241,n
Cojoba_valerioi,5.9,8,0,43.08531188,n
Cojoba_valerioi,5.9,4,0,43.08531188,n
Cojoba_valerioi,5.9,4,0,5.56400241,n
Cojoba_valerioi,5.9,4,0,30.98645283,n
Colubrina_spinosa,10.2,8,0,54.11074652,n
Colubrina_spinosa,11.9,8,0,43.55321458,n
Colubrina_spinosa,19.8,10,0,7.927937941,n
Colubrina_spinosa,9.2,4,0,26.808106,n
Colubrina_spinosa,35.3,4,0,11.41431119,n
Colubrina_spinosa,19.8,8,0,32.81223475,n
Colubrina_spinosa,35.3,4,0,37.60590058,n
Colubrina_spinosa,10.2,4,0,56.52248579,n
Colubrina_spinosa,9.2,4,0,30.58964095,n
Colubrina_spinosa,10.2,4,0,54.11074652,n
Colubrina_spinosa,31,6,0,25.35297943,n
Colubrina_spinosa,15,9,0,52.17331491,n
Colubrina_spinosa,10.2,8,0,56.52248579,n
Colubrina_spinosa,31,6,0,34.30128661,n
Colubrina_spinosa,11.9,8,0,33.80790932,n
Colubrina_spinosa,19.8,8,0,7.927937941,n
Colubrina_spinosa,11.9,8,0,52.51125079,n
Colubrina_spinosa,9.2,4,0,10.88225161,n
Colubrina_spinosa,19.8,10,0,32.81223475,n
Colubrina_spinosa,11.9,8,0,15.8150934,n
Colubrina_spinosa,15,9,0,33.14298483,n
Compsoneura_sprucei,5.8,5,0,34.70242064,n
Compsoneura_sprucei,5.8,5,0,6.521955555,n
Compsoneura_sprucei,3.9,5,0,19.95262182,n
Compsoneura_sprucei,3.9,5,0,26.54868043,n
Compsoneura_sprucei,5.8,5,0,31.50157527,n
Compsoneura_sprucei,8.2,1,1,44.61462979,n
Compsoneura_sprucei,7.1,5,0,15.72509459,n
Compsoneura_sprucei,7.1,5,0,22.25578053,n
Conceveiba_pleiostemona,25,4,0,50.38903055,n
Conceveiba_pleiostemona,25,8,1,32.41012441,n
Conceveiba_pleiostemona,25,4,0,27.59932246,n
Conceveiba_pleiostemona,25,8,1,2.903566643,n
Conceveiba_pleiostemona,25,4,0,30.03531784,n
Conceveiba_pleiostemona,25,4,0,22.89576064,n
Conceveiba_pleiostemona,25,4,0,23.09181351,n
Cordia_alliodora,30.5,9,1,15.54288806,c
Cordia_alliodora,32,6,0,49.05762428,c
Cordia_alliodora,66.5,6,0,18.09489707,c
